state_fips,state_abb,state_name,year,n_obs,n_weighted,n_immigrants,immigrant_share,mean_earn,mean_ln_earn,median_earn,share_college,share_female,mean_age
19,IA,Iowa,2000,160,270164.11,9548.2,0.03534222217747576,593.0173668515778,6.185312630085669,520,0.25063610410724063,0.4920705788788896,40.5073636538917
19,IA,Iowa,2010,236,215628.49,10305.01,0.04779057720990394,706.501117315249,6.359629120472002,607.5,0.2509648423545516,0.48014304603255353,45.13933168107795
19,IA,Iowa,2020,107,184951.6141,16683.9728,0.09020723004330893,1041.0620553086592,6.76110577508299,885,0.36257279195056236,0.4989936338165756,42.71572657283449
20,KS,Kansas,2000,158,234533.74,13307.689999999999,0.0567410471516806,662.9502469879175,6.324421443034765,600,0.35558687632747427,0.4830616695064855,42.5108480766989
20,KS,Kansas,2010,177,171015.97,15958.93,0.09331836085249816,830.3262863111556,6.503574963032583,621,0.3597050614629733,0.4946171986160123,44.055036438994556
20,KS,Kansas,2020,114,170767.5092,14052.4023,0.08228967188097863,1065.8438947360369,6.7999299360184455,962,0.34959740983327525,0.47457785254151846,42.19281993485913
21,KY,Kentucky,2000,139,314253.55,6887.98,0.021918543163633314,566.3525666456275,6.113316610714434,480,0.19152531451116464,0.4945621775792191,42.05374010890251
21,KY,Kentucky,2010,178,253594.63,17420.64,0.06869483001276486,790.0319355737146,6.440912115497403,612,0.3152145216955106,0.5117471533210305,42.72326614329333
21,KY,Kentucky,2020,111,301646.6719,11656.254700000001,0.03864207957800446,1042.4630975290397,6.742599852849088,923,0.39590208719289366,0.5057385000772489,45.16107436390382
22,LA,Louisiana,2000,138,301850.77,19558.52,0.06479532916215519,609.166471167193,6.205277949574301,500,0.3347365653564508,0.5073849240139423,41.539132167858966
22,LA,Louisiana,2010,88,212874.07,5004.27,0.02350812384054103,853.4164018191601,6.524545386415244,692,0.41785150253386893,0.4689780676434664,41.91930623584169
22,LA,Louisiana,2020,215,270157.4953,14248.3297,0.05274082691719418,1084.5200803118341,6.755403891176476,884,0.34689633280739113,0.5056948138651179,42.95264851124788
23,ME,Maine,2000,105,107604.49,5821.07,0.05409690617928675,636.6120566158531,6.221123221242028,600,0.33189786039597413,0.44931284930582355,42.645146591931244
23,ME,Maine,2010,210,90968.96,3794.16,0.04170829258683401,780.0031740496978,6.468932414017023,686,0.3923779056064838,0.5069528111566847,45.54847290768191
23,ME,Maine,2020,77,83486.4091,4043.4407,0.04843232262100011,1087.2131377153698,6.817680916799109,880,0.38432338443934816,0.4820136814340479,44.50796448735989
24,MD,Maryland,2000,137,486471.17,61921,0.12728606301582066,763.9557062549051,6.324670836856944,640,0.3645969811530661,0.4728216679315241,42.5495564105063
24,MD,Maryland,2010,290,345084.7,63127.41,0.18293308860114632,1032.0398494630447,6.724402895788125,923,0.4835503863254441,0.5186654754615315,44.4025509389434
24,MD,Maryland,2020,144,505055.2327,121253.7345,0.2400801469807245,1384.5194966140582,7.013990064911605,1173,0.6353788744737423,0.45792111461475804,44.015773190503175
25,MA,Massachusetts,2000,281,616181.3,127187.61,0.20641264186368524,711.8992719675199,6.35763404010446,600,0.3455304956511987,0.5055347671213002,41.20631554381802
