year,serial,pernum,asec_flag,weight,state_fips,age,sex,nativity,empstat,educ,hrs_work,earn_week,immigrant,employed,female,educ_cat,state_abb,state_name,ln_earn,earn_extreme
2000,836,2,1,821.86,33,43,2,1,10,92,22,481,0,1,1,some_college,NH,New Hampshire,6.175867270105761,0
2000,837,2,1,741.02,33,41,1,1,10,111,18,18,0,1,0,college_plus,NH,New Hampshire,2.8903717578961645,0
2000,846,1,1,1023.46,33,46,1,5,10,111,40,600,1,1,0,college_plus,NH,New Hampshire,6.396929655216146,0
2000,847,2,1,1013.57,33,55,2,1,10,73,40,543,0,1,1,hs,NH,New Hampshire,6.297109319933935,0
2000,848,1,1,1073.03,33,46,1,1,10,111,40,2308,0,1,0,college_plus,NH,New Hampshire,7.744136627627991,0
2000,857,1,1,1027.49,33,42,1,1,10,73,50,945,0,1,0,hs,NH,New Hampshire,6.851184927493743,0
2000,858,1,1,1028.1,33,50,1,3,10,111,60,1385,0,1,0,college_plus,NH,New Hampshire,7.233455418621439,0
2000,867,1,1,731.27,33,46,1,3,10,73,40,808,0,1,0,hs,NH,New Hampshire,6.694562058521095,0
2000,871,1,1,879.7,33,39,1,1,10,111,45,961,0,1,0,college_plus,NH,New Hampshire,6.8679744089702925,0
2000,874,1,1,704.96,33,57,1,1,10,111,45,1538,0,1,0,college_plus,NH,New Hampshire,7.338238150065589,0
2000,874,2,1,704.96,33,53,2,1,10,92,45,865,0,1,1,some_college,NH,New Hampshire,6.762729506931879,0
2000,876,1,1,821.86,33,41,2,1,10,91,40,577,0,1,1,some_college,NH,New Hampshire,6.3578422665081,0
2000,876,2,1,821.86,33,45,1,1,10,111,60,1500,0,1,0,college_plus,NH,New Hampshire,7.313220387090301,0
2000,883,1,1,1046.48,33,29,2,1,10,81,21,210,0,1,1,some_college,NH,New Hampshire,5.3471075307174685,0
2000,883,2,1,1046.48,33,30,1,1,10,81,55,904,0,1,0,some_college,NH,New Hampshire,6.806829360392176,0
2000,894,1,1,741.02,33,36,2,1,10,81,40,430,0,1,1,some_college,NH,New Hampshire,6.063785208687608,0
2000,894,2,1,741.02,33,39,1,1,10,73,45,720,0,1,0,hs,NH,New Hampshire,6.579251212010101,0
2000,895,1,1,821.86,33,42,1,1,10,73,45,1154,0,1,0,hs,NH,New Hampshire,7.050989447068045,0
2000,895,2,1,821.86,33,40,2,1,10,73,40,654,0,1,1,hs,NH,New Hampshire,6.483107351457199,0
2000,898,1,1,802.82,33,41,2,1,10,81,NA,700,0,1,1,some_college,NH,New Hampshire,6.551080335043404,0
2000,911,1,1,1027.49,33,43,1,1,10,73,40,500,0,1,0,hs,NH,New Hampshire,6.214608098422191,0
2000,911,2,1,1122.69,33,33,2,1,10,111,14,84,0,1,1,college_plus,NH,New Hampshire,4.430816798843313,0
2000,916,1,1,741.02,33,43,1,1,10,73,55,1058,0,1,0,hs,NH,New Hampshire,6.964135612418245,0
2000,916,2,1,741.02,33,38,2,1,10,81,24,264,0,1,1,some_college,NH,New Hampshire,5.575949103146316,0
2000,919,1,1,1079.66,33,40,2,1,10,50,40,748,0,1,1,less_hs,NH,New Hampshire,6.617402977974478,0
